Rank,Company Name,Employees,Revenues,Profits,Assets,MarketValue 
1,Walmart,2200000.00,523964.00,14881.00,236495.00,321803.30
2,Amazon.com,798000.00,280522.00,11588.00,225248.00,970680.10
3,Exxon Mobil,74900.00,264938.00,14340.00,362597.00,160696.30
4,Apple,137000.00,260174.00,55256.00,338516.00,1112640.80
5,CVS Health,290000.00,256776.00,6634.00,222449.00,77375.80
6,Berkshire Hathaway,391500.00,254616.00,81417.00,817729.00,442897.10
7,UnitedHealth Group,325000.00,242155.00,13839.00,173889.00,236555.20
8,McKesson,70000.00,214319.00,34.00,59672.00,21845.00
9,AT&T,247800.00,181193.00,13903.00,551669.00,209387.50
10,AmerisourceBergen,21500.00,179589.10,855.40,39172.00,18221.40
11,Alphabet,118899.00,161857.00,34343.00,275909.00,798905.30
12,Ford Motor,190000.00,155900.00,47.00,258537.00,19150.60
13,Cigna,73700.00,153566.00,5104.00,155774.00,65896.70
14,Costco Wholesale,201500.00,152703.00,3659.00,45400.00,125907.70
15,Chevron,48200.00,146516.00,2924.00,237428.00,136175.90
16,Cardinal Health,49500.00,145534.00,1363.00,40963.00,13988.10
17,JPMorgan Chase,256981.00,142422.00,36431.00,2687379.00,276750.10
18,General Motors,164000.00,137237.00,6732.00,228037.00,29694.70
19,Walgreens Boots Alliance,287000.00,136866.00,3982.00,67598.00,40528.20
20,Verizon Communications,135000.00,131868.00,19265.00,291727.00,222220.00
21,Microsoft,144000.00,125843.00,39240.00,286556.00,1199549.70
22,Marathon Petroleum,60910.00,124813.00,2637.00,98556.00,15353.00
23,Kroger,435000.00,122286.00,1659.00,45256.00,24113.70
24,Fannie Mae,7500.00,120304.00,14160.00,3503319.00,1841.40
25,Bank of America,208131.00,113589.00,27430.00,2434079.00,185226.90
26,Home Depot,415700.00,110225.00,11242.00,51236.00,200665.00
27,Phillips 66,14500.00,109559.00,3076.00,58720.00,23490.00
28,Comcast,190000.00,108942.00,13057.00,263414.00,156533.30
29,Anthem,70600.00,104213.00,4807.00,77453.00,57245.20
30,Wells Fargo,259800.00,103915.00,19549.00,1927555.00,117365.70
31,Citigroup,200000.00,103449.00,19401.00,1951158.00,88376.50
32,Valero Energy,10222.00,102729.00,2422.00,53864.00,18531.60
33,General Electric,205000.00,95214.00,-4979.00,266048.00,69406.10
34,Dell Technologies,165000.00,92154.00,4616.00,118861.00,29246.20
35,Johnson & Johnson,132200.00,82059.00,15119.00,157728.00,345704.90
36,State Farm Insurance,57672.00,79395.30,5592.70,294823.20,-
37,Target,368000.00,78112.00,3281.00,42779.00,46574.40
38,IBM,383800.00,77147.00,9431.00,152186.00,98551.10
39,Raytheon Technologies,243200.00,77046.00,5537.00,139716.00,81705.30
40,Boeing,161100.00,76559.00,-636.00,133625.00,84148.60
41,Freddie Mac,6892.00,75125.00,7214.00,2203623.00,908.70
42,Centene,56600.00,74639.00,1321.00,40994.00,34862.40
43,United Parcel Service,377640.00,74094.00,4440.00,57857.00,80196.10
44,Lowe's,260000.00,72148.00,4281.00,39471.00,64963.30
45,Intel,110800.00,71965.00,21048.00,136524.00,231661.90
46,Facebook,44942.00,70697.00,18485.00,133376.00,475455.20
47,FedEx,389500.00,69693.00,540.00,54403.00,31679.10
48,MetLife,49000.00,69620.00,5899.00,740463.00,27996.90
49,Walt Disney,223000.00,69570.00,11054.00,193984.00,174405.40
50,Procter & Gamble,97000.00,67684.00,3897.00,115095.00,271639.80
51,PepsiCo,267000.00,67161.00,7314.00,78547.00,166847.80
52,Humana,46000.00,64888.00,2707.00,29074.00,41489.50
53,Prudential Financial,51511.00,64807.00,4186.00,896552.00,20649.70
54,Archer Daniels Midland,38100.00,64656.00,1379.00,43997.00,19602.60
55,Albertsons,267000.00,60534.50,131.10,20776.60,-
56,Sysco,69000.00,60113.90,1674.30,17966.50,23203.20
57,Lockheed Martin,110000.00,59812.00,6230.00,47528.00,95539.30
58,HP,56000.00,58756.00,3152.00,33467.00,24820.70
59,Energy Transfer,12812.00,54213.00,3592.00,98880.00,12373.50
60,Goldman Sachs Group,38300.00,53922.00,8466.00,992968.00,55416.70
61,Morgan Stanley,60431.00,53823.00,9042.00,895429.00,52101.50
62,Caterpillar,102300.00,53800.00,6093.00,78453.00,63831.60
63,Cisco Systems,75900.00,51904.00,11621.00,97793.00,166709.00
64,Pfizer,88300.00,51750.00,16273.00,167489.00,181074.90
65,HCA Healthcare,245000.00,51336.00,3505.00,45058.00,30411.40
66,AIG,46000.00,49746.00,3348.00,525064.00,20886.30
67,American Express,64500.00,47020.00,6759.00,198321.00,68982.70
68,Delta Air Lines,91224.00,47007.00,4767.00,64532.00,18261.90
69,Merck,71000.00,46840.00,9843.00,84397.00,195140.50
70,American Airlines Group,133700.00,45768.00,1686.00,59995.00,5193.70
71,Charter Communications,95100.00,45764.00,1668.00,148188.00,111924.00
72,Allstate,46035.00,44675.00,4847.00,119950.00,29070.50
73,New York Life Insurance,11519.00,44116.60,1003.80,330806.30,-
74,Nationwide,28114.00,43982.00,829.70,239539.60,-
75,Best Buy,125000.00,43638.00,1541.00,15591.00,14647.40
76,United Airlines Holdings,96000.00,43259.00,3009.00,52611.00,7822.90
77,Liberty Mutual Insurance Group,45000.00,43228.00,1044.00,133644.00,-
78,Dow,36500.00,42951.00,-1359.00,60524.00,21716.00
79,Tyson Foods,141000.00,42405.00,2022.00,33097.00,21124.80
80,TJX,286000.00,41717.00,3272.20,24145.00,57262.00
81,TIAA,16533.00,40454.40,2460.10,615042.30,-
82,Oracle,136000.00,39506.00,11083.00,108709.00,152412.70
83,General Dynamics,102900.00,39350.00,3484.00,48841.00,38398.10
84,Deere,73489.00,39258.00,3253.00,73011.00,43329.70
85,Nike,76700.00,39117.00,4029.00,23717.00,128857.00
86,Progressive,41571.00,39022.30,3970.30,54895.30,43218.40
87,Publix Super Markets,207000.00,38462.80,3005.40,24507.10,-
88,Coca-Cola,86200.00,37266.00,8920.00,86381.00,189983.00
89,Massachusetts Mutual Life Insurance,9896.00,37253.40,3700.70,290730.70,-
90,Tech Data,15000.00,36998.40,374.50,13268.60,4645.00
91,World Fuel Services,5500.00,36819.00,178.90,5992.40,1646.90
92,Honeywell International,113000.00,36709.00,6143.00,58679.00,94627.90
93,ConocoPhillips,10400.00,36670.00,7189.00,70514.00,33167.30
94,USAA,35076.00,35617.40,4006.30,173732.60,-
95,Exelon,32713.00,34438.00,2936.00,124977.00,35850.40
96,Northrop Grumman,90000.00,33841.00,2248.00,41089.00,50718.60
97,Capital One Financial,51900.00,33766.00,5546.00,390365.00,23063.20
98,Plains GP Holdings,5000.00,33669.00,331.00,29969.00,1021.80
99,AbbVie,30000.00,33266.00,7882.00,89115.00,112507.70
100,StoneX Group,2012.00,32897.00,85.10,9936.10,699.90
101,Enterprise Products Partners,7300.00,32789.20,4591.30,61733.20,31305.90
102,Northwestern Mutual,5964.00,32293.60,1268.00,290318.00,-
103,3M,96163.00,32136.00,4570.00,44659.00,78528.80
104,Abbott Laboratories,107000.00,31904.00,3687.00,67887.00,139152.50
105,CHS,10703.00,31900.50,829.90,16447.50,-
106,Travelers,30800.00,31581.00,2622.00,110122.00,25337.30
