Rank,Release,Gross
1,Avengers: Endgame,858373000.00
2,The Lion King,543638043.00
3,Toy Story 4,434038008.00
4,Frozen II,430144682.00
5,Captain Marvel,426829839.00
6,Star Wars: Episode IX - The Rise of Skywalker,390706234.00
7,Spider-Man: Far from Home,390532085.00
8,Aladdin,355559216.00
9,Joker,333772511.00
10,It Chapter Two,211593228.00
11,Jumanji: The Next Level,192094536.00
12,Us,175084580.00
13,Fast & Furious Presents: Hobbs & Shaw,173956935.00
14,John Wick: Chapter 3 - Parabellum,171015687.00
15,How to Train Your Dragon: The Hidden World,160799505.00
16,The Secret Life of Pets 2,157949395.00
17,Pok�mon Detective Pikachu,144105346.00
18,Once Upon a Time... In Hollywood,141076968.00
19,Shazam!,140371656.00
20,Aquaman,136001983.00
21,Knives Out,115711579.00
22,Dumbo,114766307.00
23,Maleficent: Mistress of Evil,113294737.00
24,Glass,111048468.00
25,Godzilla: King of the Monsters,110500138.00
26,The Upside,108252517.00
27,Ford v Ferrari,107196444.00
28,The LEGO Movie 2: The Second Part,105806508.00
29,Hustlers,104960643.00
30,The Addams Family,97185807.00
31,Downton Abbey,96854135.00
32,Rocketman,96368160.00
33,Alita: Battle Angel,85710210.00
34,Good Boys,83140306.00
35,Spider-Man: Into the Spider-Verse,82094865.00
36,Men in Black: International,80001807.00
37,Annabelle Comes Home,74152591.00
38,Yesterday,73286650.00
39,Tyler Perry's a Madea Family Funeral,73257045.00
40,Zombieland: Double Tap,72930156.00
41,Angel Has Fallen,69030436.00
42,Scary Stories to Tell in the Dark,68947075.00
43,Mary Poppins Returns,66027977.00
44,X-Men: Dark Phoenix,65845974.00
45,Terminator: Dark Fate,62253077.00
46,Abominable,60679265.00
47,Dora and the Lost City of Gold,60477943.00
48,Escape Room,57005601.00
49,A Beautiful Day in the Neighborhood,56706993.00
50,Midway,56279164.00
51,Bumblebee,55769470.00
52,The Curse of La Llorona,54733739.00
53,Pet Sematary,54724696.00
54,What Men Want,54611903.00
55,Green Book,52927165.00
56,Ad Astra,50188370.00
57,Isn't It Romantic,48791187.00
58,Gemini Man,48546770.00
59,Ma,45896028.00
60,Five Feet Apart,45729221.00
61,Wonder Park,45216793.00
62,Rambo: Last Blood,44819352.00
63,Playing with Fire,44151387.00
64,Harriet,42547700.00
65,A Dog's Way Home,42004346.00
66,The Angry Birds Movie 2,41667116.00
67,Little,40860481.00
68,Queen & Slim,40718945.00
69,Breakthrough,40713082.00
70,The Mule,39084073.00
71,Crawl,39014193.00
72,Little Women,37593127.00
73,The Intruder,35419122.00
74,The Hustle,35417038.00
75,Last Christmas,35116450.00
76,Overcomer,34746945.00
77,Cold Pursuit,32138862.00
78,Doctor Sleep,31543097.00
79,Dragon Ball Super: Broly,30712119.00
80,Long Shot,30316271.00
81,Spies in Disguise,29323688.00
82,Child's Play,29208403.00
83,Ready or Not,28714231.00
84,Happy Death Day 2U,28148130.00
85,Vice,28060115.00
86,21 Bridges,27747269.00
87,Midsommar,27426361.00
88,Bohemian Rhapsody,26614909.00
89,The Art of Racing in the Rain,26395642.00
90,Countdown,25594369.00
91,Uncut Gems,25253119.00
92,Judy,24017545.00
93,Ralph Breaks the Internet,23474857.00
94,Fighting with My Family,22958886.00
95,On the Basis of Sex,22946065.00
96,A Dog's Journey,22782371.00
97,Booksmart,22680962.00
98,Parasite,22633689.00
99,Stuber,22370452.00
100,47 Meters Down: Uncaged,22260900.00
101,Black and Blue,22047506.00
102,Hellboy,21903748.00
103,Shaft,21360215.00
104,Jojo Rabbit,21059726.00
105,The Peanut Butter Falcon,20457151.00
106,UglyDolls,20150241.00
107,Cats,19970095.00
108,Unplanned,19006109.00
109,The Favourite,18478318.00
110,Bombshell,18117885.00
111,Richard Jewell,17822217.00
112,Charlie's Angels,17756400.00
113,The Farewell,17695781.00
114,Brightburn,17300439.00
115,The Good Liar,16973279.00
116,The Kid Who Would Be King,16790790.00
117,Missing Link,16649539.00
118,Second Act,15737285.00
119,Late Night,15499454.00
120,Miss Bala,15006824.00
121,The Prodigy,14856291.00
122,A Star Is Born,14130981.00
123,Poms,13631124.00
124,If Beale Street Could Talk,12786569.00
125,They Shall Not Grow Old,12253074.00
126,The Kitchen,12180032.00
127,After,12138565.00
128,Blinded by the Light,11901145.00
129,The Lighthouse,10772524.00
130,Dark Waters,10633879.00
131,Greta,10532219.00
132,The Best of Enemies,10205616.00
133,Black Christmas,9867670.00
134,Hotel Mumbai,9651611.00
135,Holmes & Watson,9324376.00
136,Motherless Brooklyn,9277736.00
137,No Manches Frida 2,9270920.00
138,"Where'd You Go, Bernadette",9198356.00
139,Apollo 11,9039891.00
140,Serenity,8547045.00
141,Anna,7743794.00
142,Penguins,7699452.00
143,Brittany Runs a Marathon,7189808.00
144,Mary Queen of Scots,6742269.00
145,The Dead Don't Die,6563605.00
146,Jexi,6546159.00
147,Run the Race,6424420.00
148,Free Solo,6300518.00
149,The Current War: Director's Cut,5979540.00
150,Captive State,5958315.00
151,The Wandering Earth,5875487.00
152,Arctic Dogs,5801249.00
153,Gloria Bell,5611123.00
154,Gully Boy,5566534.00
155,Stan & Ollie,5386243.00
156,The Goldfinch,5332621.00
157,Don't Let Go,5215062.00
158,The Mustang,5043620.00
159,The Sun Is also a Star,4950029.00
160,Bring the Soul: The Movie,4809800.00
161,Pavarotti,4600249.00
162,Tolkien,4535154.00
163,The Last Black Man in San Francisco,4515719.00
164,War,4486000.00
165,Cold War,4427217.00
,2018 Re-release,
166,Menteur,4403322.00
167,Brian Banks,4376819.00
168,The Biggest Little Farm,4366949.00
169,Dr. Seuss' the Grinch,4340540.00
170,Amazing Grace,4335184.00
171,Linda Ronstadt: The Sound of My Voice,4240509.00
172,Uri: The Surgical Strike,4186168.00
173,Replicas,4046429.00
174,Pain and Glory,3873727.00
175,Ne Zha,3695533.00
176,Mission Mangal,3659413.00
177,The Oscar Nominated Short Films 2019: Documentary,3531094.00
178,BTS World Tour: Love Yourself in Seoul,3509917.00
179,The Beach Bum,3502600.00
180,Echo in the Canyon,3355324.00
181,Creed II,3267369.00
182,Jay and Silent Bob Reboot,3258814.00
183,Maiden,3164840.00
184,Simmba,2991179.00
185,Bharat,2971549.00
186,Honey Boy,2939993.00
187,Friends 25th: The One With The Anniversary,2884827.00
188,Saaho,2872057.00
189,Fantastic Beasts: The Crimes of Grindelwald,2774042.00
190,Kalank,2729336.00
191,Tod@s Caen,2670925.00
192,Everybody Knows,2660165.00
193,Instant Family,2518231.00
194,The Art of Self-Defense,2410914.00
195,Arctic,2410795.00
,2019 Re-release,
196,Welcome to Marwen,2405625.00
197,"My People, My Country",2356683.00
198,Promare,2287950.00
199,Super 30,2269878.00
200,Faustina: Love and Mercy,2243180.00
201,Gone with the Wind,2176120.00
,2019 Re-release,
202,3 from Hell,2172949.00
203,Total Dhamaal,2167632.00
204,Housefull 4,2109160.00
205,Shoplifters,2092669.00
206,The Wizard of Oz,2076020.00
,2019 Re-release,
207,Luce,2010613.00
208,Chhichhore,2004400.00
209,Official Secrets,1988618.00
210,Better Days,1921657.00
211,Badla,1861000.00
212,The White Crow,1828784.00
213,Ben Is Back,1827480.00
214,Pandas,1816106.00
215,The Other Side of Heaven 2: Fire of Faith,1807216.00
216,Ip Man 4: The Finale,1775960.00
217,Wild Rose,1635117.00
218,The Aftermath,1618497.00
219,Made for More,1589250.00
220,Red Joan,1579730.00
221,After the Wedding,1574258.00
222,Extreme Job,1565885.00
223,Waves,1562941.00
224,Qu� Le�n,1556856.00
225,Capernaum,1545118.00
226,The Kid,1508593.00
227,Kinky Boots the Musical,1414290.00
228,Destroyer,1411224.00
229,The Wife,1402934.00
230,El Chicano,1400603.00
231,Fantastic Fungi,1358874.00
232,1917,1326178.00
233,Spirited Away,1322927.00
,2019 Re-release,
234,Never Look Away,1299506.00
235,Pilgrim's Progress,1294596.00
236,Can You Ever Forgive Me?,1273561.00
237,Asterix: The Secret of the Magic Potion,1271953.00
238,Metallica & San Francisco Symphony - S&M2,1252385.00
239,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,1226552.00
240,High Life,1225852.00
241,All Is True,1200481.00
242,Kingdom Men Rising,1188936.00
243,Los Domirrique�os 2,1187280.00
244,Ek Ladki Ko Dekha Toh Aisa Laga,1182636.00
245,No Safe Spaces,1159359.00
246,Nothing to Lose 2,1150551.00
247,Western Stars,1141681.00
248,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,1134786.00
249,My Neighbor Totoro,1105564.00
,2019 Re-release,
250,Playmobil: The Movie,1104483.00
251,Mortal Engines,1056865.00
252,Bennett's War,1056416.00
253,Princess Mononoke,1046446.00
,2019 Re-release,
254,Luka Chuppi,1042905.00
255,The Souvenir,1036737.00
256,Noah,1035603.00
